,rcp45_mid_30C,rcp85_mid_30C,rcp45_distant_30C,rcp85_distant_30C,rcp45_mid_35C,rcp85_mid_35C,rcp45_distant_35C,rcp85_distant_35C,rcp45_mid_40C,rcp85_mid_40C,rcp45_distant_40C,rcp85_distant_40C,total_rail_length,rcp45_mid_30C_pct,rcp85_mid_30C_pct,rcp45_distant_30C_pct,rcp85_distant_30C_pct,rcp45_mid_35C_pct,rcp85_mid_35C_pct,rcp45_distant_35C_pct,rcp85_distant_35C_pct,rcp45_mid_40C_pct,rcp85_mid_40C_pct,rcp45_distant_40C_pct,rcp85_distant_40C_pct
BEL,9610.9,9610.9,9610.9,9610.9,0.0,285.6,2330.8,9285.8,0.0,0.0,0.0,0.0,9704.4,99.0,99.0,99.0,99.0,0.0,2.9,24.0,95.7,0.0,0.0,0.0,0.0
BGR,7302.9,7302.9,7302.9,7302.9,6797.5,6864.9,6797.5,7302.9,307.1,1074.4,769.3,5367.5,7302.9,100.0,100.0,100.0,100.0,93.1,94.0,93.1,100.0,4.2,14.7,10.5,73.5
CYP,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DNK,41.4,772.2,2135.8,3275.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4068.6,1.0,19.0,52.5,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,23740.6,23890.6,23999.8,24337.5,18781.9,20229.4,20178.4,22648.6,8872.8,10788.9,10126.3,16888.6,24337.5,97.5,98.2,98.6,100.0,77.2,83.1,82.9,93.1,36.5,44.3,41.6,69.4
EST,100.4,1427.8,1486.6,2020.3,0.0,0.0,0.0,33.5,0.0,0.0,0.0,0.0,2083.4,4.8,68.5,71.4,97.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0
FIN,553.1,6939.7,7475.6,8671.5,0.0,0.0,0.0,59.7,0.0,0.0,0.0,0.0,9129.1,6.1,76.0,81.9,95.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
GRC,3259.3,3259.3,3259.3,3259.3,2970.5,3034.3,3034.3,3235.8,1207.8,1814.2,1670.0,2763.9,3259.3,100.0,100.0,100.0,100.0,91.1,93.1,93.1,99.3,37.1,55.7,51.2,84.8
HRV,4027.0,4027.0,4027.0,4027.0,3582.8,3641.3,3678.6,3953.5,245.7,114.2,139.1,3246.9,4027.0,100.0,100.0,100.0,100.0,89.0,90.4,91.3,98.2,6.1,2.8,3.5,80.6
HUN,13106.4,13106.4,13106.4,13106.4,13106.4,13106.4,13106.4,13106.4,0.0,0.0,338.2,11884.7,13106.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,2.6,90.7
IRL,0.0,0.0,0.0,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2805.9,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIE,10.9,10.9,10.9,10.9,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,10.9,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
LTU,2977.5,4017.7,4017.7,4017.7,0.0,0.0,0.0,2587.4,0.0,0.0,0.0,0.0,4033.6,73.8,99.6,99.6,99.6,0.0,0.0,0.0,64.1,0.0,0.0,0.0,0.0
LUX,891.7,891.7,891.7,891.7,0.0,820.1,820.1,891.7,0.0,0.0,0.0,0.0,891.7,100.0,100.0,100.0,100.0,0.0,92.0,92.0,100.0,0.0,0.0,0.0,0.0
